seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,27,Train,9,0,速训练,48,"#0 4544[速训练 失败率0% 属性+254 PT+50] | #1 765[耐训练 失败率0% 属性+92 PT+9] | #2 1274[力训练 失败率0% 属性+83 PT+15] | #3 640[根训练 失败率0% 属性+53 PT+8] | #4 1165[智训练 失败率0% 属性+51 PT+13] | #5 999[比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 3124[友人外出#2 选项1 动态事件1314 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,28,RamenSelect,2,0,不吃面,36,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,28,Train,9,8,友人出行,26,"#0 2689[速训练 失败率2% 属性+201 PT+30] | #1 760[耐训练 失败率1% 属性+93 PT+9] | #2 1340[力训练 失败率1% 属性+90 PT+16] | #3 1218[根训练 失败率3% 属性+79 PT+15] | #4 1072[智训练 失败率0% 属性+51 PT+12] | #5 1593[比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 56[休息] | #7 15[普通外出] | #8 3132[友人外出#2 选项1 动态事件1322 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,29,RamenSelect,4,2,吃面/京都-耐根,88,#0 0[不吃面] | #1 2380[吃面/中山-全] | #2 2389[吃面/京都-耐根] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,29,SpecialSelect,3,0,吃面/京都-耐根(替换Cx1),9,"#0 11[隐藏方案[0, 0, 1] 后续可做0种] | #1 5[隐藏方案[0, 0, 2] 后续可做0种] | #2 5[隐藏方案[0, 1, 1] 后续可做0种]"
1001,29,Train,9,1,耐训练,44,"#0 1292[速训练 失败率0% 属性+111 PT+15] | #1 10397[耐训练 失败率0% 属性+669 PT+112] | #2 828[力训练 失败率0% 属性+72 PT+10] | #3 3044[根训练 失败率0% 属性+137 PT+31] | #4 1250[智训练 失败率0% 属性+50 PT+14] | #5 1594[比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 3658[友人外出#3 选项2 动态事件2352 材料+2(库存2也不禁用) 饥饿+1014 未来+0 主动+213]"
1001,30,RamenSelect,2,1,吃面/中山-全,61,#0 0[不吃面] | #1 2488[吃面/中山-全]
1001,30,SpecialSelect,1,0,吃面/中山-全(替换Cx2),2,仅1候选: 吃面/中山-全(替换Cx2)
1001,30,Train,9,1,耐训练,50,"#0 4045[速训练 失败率0% 属性+337 PT+43] | #1 17088[耐训练 失败率0% 属性+1396 PT+183] | #2 2719[力训练 失败率0% 属性+189 PT+29] | #3 1821[根训练 失败率0% 属性+96 PT+20] | #4 2677[智训练 失败率0% 属性+96 PT+29] | #5 2009[比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 4684[友人外出#3 选项2 动态事件2364 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,31,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,31,Train,9,0,速训练,35,"#0 4886[速训练 失败率0% 属性+363 PT+53] | #1 2250[耐训练 失败率0% 属性+252 PT+24] | #2 1211[力训练 失败率0% 属性+115 PT+14] | #3 648[根训练 失败率1% 属性+68 PT+8] | #4 1957[智训练 失败率0% 属性+110 PT+21] | #5 1600[比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 51[休息] | #7 15[普通外出] | #8 4688[友人外出#3 选项2 动态事件2368 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
